drug_name,num_prescriber,total_cost
BENICAR HCT,27614,176598942
ELIQUIS,47168,782329758
MESTINON,508,9590514
ZOMIG ZMT,7,74664
LAMOTRIGINE,60494,37921051
ASACOL HD,4443,61913619
PROCHLORPERAZINE MALEATE,14489,2861137
DIPROLENE,1,2702
SARAFEM,4,17827
SANTYL,9687,84465682
CLORAZEPATE DIPOTASSIUM,9762,4761197
LAMIVUDINE-ZIDOVUDINE,1747,20044372
THIOLA,69,6405560
IBANDRONATE SODIUM,23401,43671902
HYDROCODONE-ACETAMINOPHEN,306651,709185336
B-D SINGLE USE ALCOHOL SWAB,11,921
CATAPRES,69,210503
ARISTADA,3,88676
LOSARTAN POTASSIUM,215202,213718336
HALOPERIDOL DECANOATE,5622,13805636
LIDOCAINE-PRILOCAINE,13367,82193592
KETOCONAZOLE,39011,45643186
MICARDIS,702,1807929
MEGACE ES,220,3550419
OSCIMIN SL,1,453
DENTAGEL,151,19152
EPINEPHRINE,25,63749
THIORIDAZINE HCL,4021,3381621
INDOMETHACIN,3013,963487
CRIXIVAN,72,419551
DICLOFENAC SODIUM ER,3991,2292760
POTASSIUM CHLORIDE-NACL,4,2284
MODERIBA,13,221499
ACTEMRA,546,30016468
FLUTICASONE PROPIONATE,188034,145860884
SINEMET CR,83,271433
FLURBIPROFEN,724,393418
VALIUM,401,2266103
SULFASALAZINE DR,2551,4373632
POLYMYXIN B SULFATE,118,258166
BRILINTA,9193,80058323
NORVIR,6294,154544971
URIN D.S.,62,18447
HYDROMORPHONE ER,1211,20806250
VEREGEN,3,94315
BROMFENAC SODIUM,1099,5634707
CYSTAGON,5,17443
PROMETRIUM,94,159569
ANAGRELIDE HCL,1388,3553410
VELETRI,2,148546
BUTRANS,5622,51358905
PHILITH,12,3883
GAMUNEX-C,632,119739508
OMEGA-3 ACID ETHYL ESTERS,40583,253375738
METHYLPHENIDATE HCL,18333,26675291
HYDROCODONE-CHLORPHENIRAMNE ER,3,4425
BUTALB-ACETAMINOPH-CAFF-CODEIN,142,713142
CAPTOPRIL-HYDROCHLOROTHIAZIDE,657,805122
PRANDIMET,22,157178
SPIRIVA RESPIMAT,6515,63178794
LEVOXYL,2479,1847126
TRETINOIN MICROSPHERE,17,84308
AUBAGIO,1231,247741626
NAPROSYN,2,4059
RETIN-A MICRO PUMP,2,18617
CHLORPROPAMIDE,35,34320
METOPROLOL TARTRATE,229488,137174889
SPIRIVA,114329,1966117068
ASSURE ID INSULIN SAFETY,47,25544
DOXIL,3,109867
VITEKTA,2,25183
PROCARDIA,3,9243
DIASTAT,1,3563
PREMPHASE,98,164942
CLINDAMYCIN-BENZOYL PEROXIDE,148,691976
TOBRADEX,1742,8136191
ACETAMINOPHEN-CODEINE,85516,35402890
OXAPROZIN,1719,4770160
BUPRENORPHINE HCL,2385,9444746
PAXIL,460,1470459
TRUVADA,6600,637347281
ACETIC ACID,1010,445613
NEXAVAR,559,101117623
AMLODIPINE BESYLATE,269499,259583893
KALYDECO,51,18927258
TRIPHROCAPS,7,2135
PRIFTIN,4,3197
KADCYLA,8,876567
RIBASPHERE,318,1012225
RAPAFLO,9398,92983914
ELIPHOS,147,503672
HYDROCORTISONE-ACETIC ACID,365,730756
FUZEON,87,3761779
RISPERDAL M-TAB,34,376311
AZATHIOPRINE,12101,14859066
ENSKYCE,59,9086
TESTOSTERONE CYPIONATE,10817,11595158
PLETAL,19,25924
ORTHO TRI-CYCLEN,14,7103
SAFYRAL,1,1654
ORACEA,323,3395668
AMOXICILLIN-CLAVULANATE POT ER,251,478466
UROXATRAL,138,1078710
GABITRIL,426,3920968
PIROXICAM,3589,6078161
EDARBI,1600,5490386
WELCHOL,18007,204850113
SF,270,34268
REA LO 40,4,6497
CLARINEX-D 12 HOUR,59,188125
ASPIRIN-CAFFEINE-DIHYDROCODEIN,2,4780
FIRAZYR,47,54721886
LINEZOLID-0.9% NACL,4,12492
DIPHENOXYLATE-ATROPINE,23386,14441919
VERAPAMIL ER,64216,37569156
HYSINGLA ER,193,1351902
CEFIXIME,1,2554
CANASA,856,11707989
MYALEPT,6,5023542
NOVOFINE PLUS,22,16580
RITUXAN,111,18469734
SELECT-OB,1,558
RISPERDAL CONSTA,7734,238381943
MONONESSA,276,54692
ATORVASTATIN CALCIUM,267363,700425906
DAYPRO,13,44062
COLY-MYCIN S,10,6387
EDECRIN,547,8809530
DAPSONE,2576,2117610
HUMIRA,3043,293043137
NYAMYC,5188,4706178
TRIHEXYPHENIDYL HCL,9513,2550273
EQUETRO,251,1287128
YF-VAX,32,123700
FML FORTE,174,410935
ULTRAM ER,41,162828
SYMBICORT,86166,1022760028
DEXMETHYLPHENIDATE HCL ER,174,535669
OMEPRAZOLE-SODIUM BICARBONATE,996,9207380
LABETALOL HCL,36935,41095270
LIOTHYRONINE SODIUM,10399,10457373
SYNJARDY,1,5486
NAMENDA,51149,534300228
PREFEST,33,45030
LIVIXIL PAK,1,31430
METFORMIN HCL,217874,174558080
LAMIVUDINE,2300,13415545
CADUET,135,508161
CLOMIPHENE CITRATE,1,306
TERBINAFINE HCL,11002,2283806
PRENATE ENHANCE,1,1378
HYDROMET,14,8393
ALDACTAZIDE,42,43486
MONO-LINYAH,209,37303
GYNAZOLE 1,2,2110
ALENDRONATE SODIUM,140279,61912351
CONCERTA,175,802175
ANORO ELLIPTA,4870,43631017
TENORETIC 50,17,42858
NITRO-BID,228,212281
SILENOR,1243,7584295
VICTRELIS,1,80014
PROAIR RESPICLICK,478,577775
MODAFINIL,7658,70504101
CEFTRIAXONE,6665,10030987
LIPOFEN,176,500739
PRANDIN,184,1749306
ERYGEL,5,21757
ONDANSETRON HCL,53086,33002934
ESTROSTEP FE,1,1757
DIFLUCAN,9,111820
SUBSYS,359,136848769
NOVOLOG,34409,452409429
TAFINLAR,103,16083101
CORZIDE,4,7520
GALANTAMINE HBR,8992,23145628
SPRIX,1,15572
AMOX TR-POTASSIUM CLAVULANATE,20,5533
KEPPRA XR,878,16288919
TRIMETHOPRIM,6968,3319360
FOSINOPRIL-HYDROCHLOROTHIAZIDE,646,410078
ZOHYDRO ER,298,2576351
STALEVO 150,65,541547
PROBENECID,2517,1428415
FENOFIBRATE,155816,348204725
BENAZEPRIL-HYDROCHLOROTHIAZIDE,14294,20549483
VARIVAX VACCINE,9,58543
PROGRAF,762,12561961
FROVA,213,2333363
PINNACAINE,5,368762
LOPROX,1,8212
POTIGA,141,2053483
ZYPREXA ZYDIS,172,2662557
ZIOPTAN,1872,7715189
NIKKI,19,11603
ADVOCATE SYRINGES,98,55211
AMPICILLIN SODIUM,237,618327
SKLICE,2,16188
ERGOLOID MESYLATES,18,131238
FORFIVO XL,94,368681
ASCOMP WITH CODEINE,545,1098703
ALMOTRIPTAN MALATE,3,16288
ZORBTIVE,1,245515
JARDIANCE,1292,10879850
COMBIPATCH,501,1090961
FINACEA,990,4654071
MAGELLAN INSULIN SAFETY SYRNG,82,118631
ENTYVIO,12,799802
NEUPRO,2960,47674034
GLYBURIDE-METFORMIN HCL,9233,4243914
CELONTIN,131,394151
CENTANY AT,1,2317
MINOCYCLINE HCL ER,6,26916
GLATOPA,92,6285613
DESLORATADINE,3341,2621640
RIMSO-50,21,231276
PROCRIT,3931,119539669
LIDOCAINE HCL-EPINEPHRINE,1,179
AVONEX,2187,236227484
SIROLIMUS,587,9502324
DILANTIN-125,112,197285
HEPARIN SODIUM IN 0.45% NACL,1,432
EPOGEN,219,1994660
BETAPACE,46,395156
VALSARTAN-HYDROCHLOROTHIAZIDE,79360,105644047
RECOMBIVAX HB,2,1701
AVIANE,272,58351
CARTEOLOL HCL,511,213585
CESAMET,1,24623
CORTIFOAM,35,319863
BENTYL,18,23873
TRIVORA-28,128,31284
NUTROPIN AQ,18,339671
ZYMAXID,164,1321815
FASLODEX,83,2661976
NEOMYCIN SULFATE,1104,483230
LEVOFLOXACIN,116581,41974656
GENERLAC,4092,1461221
UROCIT-K,41,137147
ESTRACE,8875,50084927
THIOTHIXENE,3831,5647736
OB COMPLETE PETITE,1,1883
COSOPT,383,1363569
PREPOPIK,694,2008601
MORPHINE SULFATE,21963,15676339
NATPARA,6,667917
GENTAMICIN SULFATE IN NS,28,9115
MESALAMINE,287,1277437
VIRT-VITE GT,8,0
NADOLOL,15454,31234409
MEDROXYPROGESTERONE ACETATE,12119,4671155
